size,GGS IT,GRCD IT,IT speed-up,GGS CPU,GRCD CPU,CPU speed-up
1000 x 50,126.00,126.82,1.007,0.0051,0.0073,1.439
1000 x 100,322.22,325.70,1.011,0.0137,0.0206,1.505
1000 x 150,586.74,591.40,1.008,0.0364,0.0441,1.211
2000 x 50,109.26,109.98,1.007,0.0059,0.0075,1.274
2000 x 100,252.84,253.90,1.004,0.0172,0.0210,1.218
2000 x 150,428.34,431.12,1.006,0.0449,0.0519,1.156
3000 x 50,101.74,102.34,1.006,0.0092,0.0100,1.085
3000 x 100,229.02,231.26,1.010,0.0230,0.0264,1.149
3000 x 150,383.18,386.10,1.008,0.0580,0.0642,1.107
